object_id,time,value
1,1,49.50000
1,2,62.00000
1,3,73.50000
1,4,62.50000
1,5,48.00000
1,6,50.50000
1,7,53.50000
1,8,48.00000
1,9,51.00000
1,10,68.50000
1,11,72.00000
1,12,67.50000
1,13,68.50000
1,14,70.00000
1,15,71.00000
1,16,71.50000
1,17,63.00000
1,18,61.50000
1,19,56.00000
1,20,40.50000
1,21,38.50000
1,22,44.00000
1,23,59.00000
1,24,59.00000
1,25,48.50000
1,26,48.00000
1,27,54.00000
1,28,51.50000
1,29,44.00000
1,30,56.50000
1,31,52.00000
1,32,45.50000
1,33,49.50000
1,34,55.00000
1,35,60.00000
1,36,65.00000
1,37,67.50000
1,38,47.00000
1,39,47.50000
1,40,56.00000
1,41,62.50000
1,42,69.00000
1,43,69.50000
1,44,70.50000
1,45,52.50000
1,46,54.00000
1,47,52.50000
1,48,63.00000
1,49,69.50000
1,50,74.50000
1,51,58.00000
1,52,47.50000
1,53,47.50000
1,54,50.50000
1,55,61.50000
1,56,65.00000
1,57,58.50000
1,58,45.50000
1,59,46.00000
1,60,50.50000
1,61,51.50000
1,62,58.50000
1,63,72.00000
1,64,72.50000
1,65,68.50000
1,66,59.50000
1,67,52.00000
1,68,55.00000
1,69,62.00000
1,70,67.00000
1,71,66.00000
1,72,68.50000
1,73,70.50000
1,74,69.50000
1,75,70.50000
1,76,73.00000
1,77,71.00000
1,78,74.00000
1,79,71.50000
1,80,72.00000
1,81,75.50000
1,82,73.00000
1,83,72.50000
1,84,75.00000
1,85,79.00000
1,86,76.00000
1,87,75.00000
1,88,75.00000
1,89,76.50000
1,90,75.00000
1,91,72.00000
1,92,60.50000
1,93,60.50000
1,94,62.00000
1,95,68.50000
1,96,70.50000
1,97,69.00000
1,98,72.00000
1,99,79.00000
1,100,84.00000
1,101,63.00000
1,102,61.00000
1,103,68.00000
1,104,77.00000
1,105,73.50000
1,106,63.50000
1,107,65.00000
1,108,65.50000
1,109,73.50000
1,110,76.50000
1,111,71.00000
1,112,69.50000
1,113,68.50000
1,114,72.50000
1,115,73.00000
1,116,73.00000
1,117,68.50000
1,118,65.00000
1,119,64.00000
1,120,68.50000
1,121,66.00000
1,122,64.50000
1,123,68.50000
1,124,70.00000
1,125,72.00000
1,126,76.50000
1,127,74.00000
1,128,62.00000
1,129,62.00000
1,130,71.00000
1,131,72.00000
1,132,70.00000
1,133,68.50000
1,134,74.00000
1,135,76.50000
1,136,77.50000
1,137,79.50000
1,138,81.00000
1,139,77.50000
1,140,80.00000
1,141,75.00000
1,142,79.00000
1,143,81.50000
1,144,80.00000
1,145,80.00000
1,146,79.00000
1,147,75.50000
1,148,79.00000
1,149,79.50000
1,150,78.00000
1,151,81.00000
1,152,82.00000
1,153,81.00000
1,154,81.00000
1,155,77.50000
1,156,80.50000
1,157,78.00000
1,158,75.50000
1,159,77.00000
1,160,84.00000
1,161,78.00000
1,162,81.00000
1,163,79.50000
1,164,82.50000
1,165,79.50000
1,166,79.00000
1,167,78.00000
1,168,76.50000
1,169,75.00000
1,170,77.50000
1,171,81.00000
1,172,81.50000
1,173,81.00000
1,174,80.00000
1,175,81.00000
1,176,82.50000
1,177,83.50000
1,178,83.00000
1,179,85.00000
1,180,84.00000
1,181,84.00000
1,182,85.50000
1,183,81.50000
1,184,83.00000
1,185,82.00000
1,186,79.50000
1,187,80.00000
1,188,80.50000
1,189,80.50000
1,190,81.50000
1,191,82.50000
1,192,86.50000
1,193,85.00000
1,194,83.00000
1,195,85.00000
1,196,84.50000
1,197,84.00000
1,198,85.00000
1,199,86.00000
1,200,86.50000
1,201,86.00000
1,202,87.00000
1,203,82.50000
1,204,83.00000
1,205,81.50000
1,206,82.50000
1,207,84.50000
1,208,84.50000
1,209,81.50000
1,210,80.00000
1,211,81.50000
1,212,84.00000
1,213,83.50000
1,214,84.00000
1,215,85.50000
1,216,86.50000
1,217,84.50000
1,218,84.50000
1,219,83.00000
1,220,81.00000
1,221,82.00000
1,222,85.00000
1,223,84.00000
1,224,81.00000
1,225,81.50000
1,226,83.00000
1,227,81.50000
1,228,83.50000
1,229,86.00000
1,230,84.50000
1,231,83.50000
1,232,81.00000
1,233,78.50000
1,234,78.00000
1,235,77.00000
1,236,76.50000
1,237,83.00000
1,238,85.50000
1,239,85.00000
1,240,85.00000
1,241,84.50000
1,242,79.50000
1,243,80.50000
1,244,83.00000
1,245,83.50000
1,246,84.50000
1,247,85.00000
1,248,86.00000
1,249,86.50000
1,250,84.50000
1,251,82.50000
1,252,83.50000
1,253,82.50000
1,254,84.00000
1,255,82.50000
1,256,84.50000
1,257,83.50000
1,258,79.50000
1,259,76.00000
1,260,77.50000
1,261,77.00000
1,262,80.00000
1,263,75.00000
1,264,69.50000
1,265,72.50000
1,266,73.00000
1,267,76.50000
1,268,76.00000
1,269,79.00000
1,270,79.00000
1,271,72.50000
1,272,80.50000
1,273,68.00000
1,274,65.00000
1,275,68.50000
1,276,65.50000
1,277,64.50000
1,278,67.50000
1,279,69.00000
1,280,77.50000
1,281,80.50000
1,282,80.50000
1,283,82.00000
1,284,80.00000
1,285,80.00000
1,286,77.00000
1,287,78.50000
1,288,75.00000
1,289,76.00000
1,290,75.00000
1,291,67.50000
1,292,73.50000
1,293,76.50000
1,294,78.50000
1,295,78.50000
1,296,79.50000
1,297,78.50000
1,298,75.00000
1,299,73.50000
1,300,76.50000
1,301,78.50000
1,302,79.50000
1,303,71.50000
1,304,60.00000
1,305,65.00000
1,306,70.50000
1,307,54.00000
1,308,54.00000
1,309,57.50000
1,310,69.00000
1,311,72.50000
1,312,76.00000
1,313,77.00000
1,314,77.50000
1,315,80.00000
1,316,79.50000
1,317,74.50000
1,318,68.00000
1,319,66.50000
1,320,72.00000
1,321,59.00000
1,322,57.50000
1,323,54.00000
1,324,60.00000
1,325,67.00000
1,326,66.50000
1,327,67.00000
1,328,58.00000
1,329,58.00000
1,330,66.50000
1,331,71.00000
1,332,74.00000
1,333,68.50000
1,334,66.50000
1,335,57.00000
1,336,40.50000
1,337,43.50000
